25-11-2025| lacakdokumen.php -> menambahkan print excel pada halaman lacak dokumen dan memperbaharui tabel dan style 
25-11-2025| lacakdokumen-excel.php -> membuat generate excel untuk rekap lacak dokumen 
25-11-2025| Table DB lacakdokumen -> menambahkan kolom keterangan dengan type Varchar(255) 
25-11-2025| dokumen/download.php -> memperbaharui download dokumen ketika file tidak ada 
25-11-2025| eksternal.php -> memperbaharui dan menambahkan CRUD di halaman L5 - Eksternal
21-11-2025| qa_label_cetak.php -> mengubah status NAT yg sebelumnya hardcode jadi membaca dari DB hasilnat
18-11-2025| abs/abs_proccess.php -> diganti dengan yg baru, menyesuaikan agar dapat save semua data termasuk rhesus dan update data ke stokkantong 
18-11-2025| abs/abd_manualinput.php -> diganti dengan yg baru, menyesuaikan agar rhesus terbaca 
18-11-2025| abs/abd_manualrekap.php -> diganti dengan yg baru,
14-11-2025| rekap_pembuatan_komponen1.php -> menambahkan export excel pada rincian pembuatan komponen 
14-11-2025| rincian_pembuatan_komponen_xls.php -> menambahkan file baru buat excel di folder modul
08-11-2025| notifikasi_dokumen.php -> menambahkan menu notifikasi pada Menu MK 
08-11-2025| pmimk.php -> menambahkan path modul notifikasi_dokumen 
08-11-2025| index2.php -> mengganti index2 encrypt dengan yang udah di decrypt dan menambahkan iframe notifikasi_dokumen untuk menu MK
07-11-2025| ubah struktur panjang nokantong pada arstokkantong_temp dari 11 jadi 12 
07-11-2025| musnah24.php -> menambahkan parameter pemusnahan yg belum ada
06-11-2025| form_bdrs.php -> menambahkan input status 0 kedalam table kirimbdrs 
06-11-2025| darahkeluarrs_rincian.php -> mengubah koneksi database dari mysqli_* menjadi mysql_* 
06-11-2025| terima_bdrs.php -> diperbaiki agar dapat digunakan 
06-11-2025| lacakdokumen.php -> filter dan hapus data jika pada lacak dokumen tidak ada nama bidang nya 
06-11-2025| detail_formulir.php -> update query tampilkan data berdasarkan yang aktif 
06-11-2025| edit_formulir.php -> memperbaharui query update formulir dan insert riwayat perubahan dan bisa update tanpa upload ulang file
28-10-2025| pengolahan_temp.php -> menghilangkan batasan pada kantong satelit yang belum disahkan oleh IMLTD agar dapat di proses.
08-10-2025| tambah_bdrs_kasir.php -> membuat agar dapat diakses oleh bagian lain yang terdapat master bdrs
07-10-2025| qa_label_cetak.php -> pada tgl pengolahan WB dibuat "-" dan yang lainnya sesuai tgl pengolahan
01-10-2025| pengolahan.php, aksiPengolahan.js, pengolahan_temp.php, pengolahan_data.php, prosesPengolahan.php -> update pengolahan konvensional dan penambahan tanggal pengerjaan serta inputan pembekuan
22-09-2025| modul/stock.php perubahan wilayah waktu dari Asia/Makassar ke Asia/Jakarta 
22-09-2025| perbaikan timbang_darah.php agar tampil hasil timbang darahnya
19-09-2025| pengolahan.php -> Menambahkan inputan Pembekuan dan inputan waktu pengerjaan 
19-09-2025| aksiPengolahan.js -> menambahkan element beku dan tanggal pengerjaan 
19-09-2025| pengolahan_temp.php -> menambahkan variabel beku dan waktu pengerjaan pada queri dan membuat kantong B bisa di input meski kantong A sudah keluar 
19-09-2025| pengolahan_data.php -> menambahkan rumus volume serta inputan beku dan tanggal pengerjaan 
19-09-2025| prosesPengolahan.php -> menyimpan tanggal pengerjaan ke tanggal pengolahan di stokkantong dan time_aksi pada table user_log 
19-09-2025| table logbook_f -> menambahkan field "Pembekuan Komponen" 
19-09-2025| table dpengolahan_temp -> menambahkan field: "aBeku, mulaiBeku, selesaiBeku, tglPengerjaan" 
19-09-2025| table dpengolahan -> menambahkan field: "tglPengerjaan, aBeku, mulaiBeku, selesaiBeku" 
19-09-2025| mobileonline/view/pengambilan.php -> Menambahkan save noSelang kedalam stokkantong
18-09-2025| Comment untuk kantong selain A pada modul/pengolahan/pengolahan_temp.php 
18-09-2025| release/qa_release.php tambah logika jika user Putri maka tersimpan dr. Srihartaty
10-09-2025| input_ik.php, input_ika.php, input_formulir, dan detail_pks2.php (Menambahkan Where Aktif pada detail SPO dan penginputan)
04-09-2025| Penambahan struktur database pada tabel ar_stokkantongtemp dan ar_stokkantong_trans (Untuk Pemusnahan Darah) 
04-09-2025| Penambahan struktur database pada kolom bagian dan notrans pada ar_stokkantong (Untuk Pemusnahan Darah)
10-07-2025| ====================== MIGRASI SISTEM KE SIMDONDAR 3.7 ======================
15-05-2025| BARCODE : penambahan digit HEXA dari 4 ke 5 digit
10-05-2025| RELEASE : Perubahan label Release.
19-04-2025| KOMPONEN : UPDATE Penambahan Cetak Label Komponen (pada Pengolahan dan Cetak Label Manual).
18-04-2025| DONOR : UPDATE Penambahan Filter (Lolos MCU & Gagal MCU) pada pencarian data Antrian Donor.
12-04-2025| PROLIS : UPDATE label Release, penambahan pilihan ukuran label yang dipakai di UDD
12-04-2025| BARCODE : Update label barcode, dengan penambahan identitas metode (TR,TT,TBF) di kanan atas, dan menambah opsi apakah informasi kantong (volume, Lot & ED) akan ditampilkan/tidak
06-04-2025| IMLTD : Penambahan menu Release hasil Duplo dan penambahan table duplo_release pada database
03-04-2025| P2DDS : Pergantian Modul Kategori Instansi dan Master Instansi
29-03-2025| KOMPONEN : Penambahan Modul Pemenuhan Permintaan Dropping darah dari BDRS.OR.ID.
25-03-2025| LOGISTIK : Update Barcode Kantong (Penambahan jenis kantong TB, TBF, TT)
24-02-2025| ADMIN : Update Index
27-02-2025| ADMIN : Update Pengiriman Laporan Online
21-02-2025| ADMIN : Update Cek Laporan
20-02-2025| ADMIN : Perubahan sistem Upload Stok
20-02-2025| ADMIN : Perubahan Setting Server di Level Admin, penambahan input PORT
20-02-2025| DATABASE : Re-struktur table db_server penambahan port akses server
12-02-2025| KGD : Perbaikan Bug, Log Audit trail belum dimasukkan sebelumnya
10-02-2025| KOMPONEN : Update bugs pada Proses Simpan dan Lanjutkan.
08-02-2025| KGD : Mengganti Modul Pemeriksaan KGD dan Rekap Pemeriksaan KGD
08-02-2025| DATABASE : Re-struktur table dkonfirmasi
06-02-2025| KGD : Perbaikan modul Rekap Konfirmasi Golongan Darah
06-02-2025| ADMIN : Perubahan data login
05-02-2025| KOMPONEN : perubahan modul Komponen
04-02-2025| PUF : Penambahan modul Distribusi PUF
04-02-2025| ADMIN : Pergantian modul Audit Trail
02-02-2025| FIX : Perubahan ceklogin (menghilangkan beberapa session yang tidak diperlukan dan tidak ada pada field user dan perubahan query)
02-02-2025| PUD : Data Stok PUF
02-02-2025| PUD : Penambahan Dashboar PUF pada level fraksionasi
02-02-2025| DATABASE : Melakukan re-struktur table release
02-02-2025| ABS : Penambahan Pemeriksaan Antibody Screening input Manual
25-01-2025| NAT : Perubahan modul Input Pemeriksaan NAT Manual
24-01-2025| PUF : Input Kantong untuk stok PuF
24-01-2025| PUF : Icon2 dan Menu-menu PUF
24-01-2025| INDEX : Pergantian modul stok di file index
23-01-2025| PUF : Cek Kantong
23-01-2025| PUF : Cek Stok
23-01-2025| DATABASE : Pembuatan View 
23-01-2025| DATABASE : Re-strukture table hasilnat
23-01-2025| DATABASE : Re-strukture table dikonfirmasi
23-01-2025| IMLTD : Penambahan modul Koneksi Alat Panther NAT
